Municípios,Ano,CO2_emitido
São Desidério,2019,2024107
Formosa do Rio Preto,2019,4220327
Jaborandi,2019,1706967
Correntina,2019,1545572
Barreiras,2019,1568927
Riachão das Neves,2019,580173
Santa Rita de Cássia,2019,694797
Jequié,2019,249169
Encruzilhada,2019,403895
Baianópolis,2019,607436
Valença,2019,247673
Cocos,2019,959394
Belmonte,2019,390403
Luís Eduardo Magalhães,2019,800435
Barra,2019,226011
Cotegipe,2019,331163
Ibirapitanga,2019,86205
Itagibá,2019,121675
Itapetinga,2019,57074
Iguaí,2019,82227
Maraú,2019,80207
Ibicuí,2019,16963
Guaratinga,2019,211708
Nilo Peçanha,2019,90276
Camamu,2019,221471
Itambé,2019,100107
Dário Meira,2019,94401
Igrapiúna,2019,257694
Ilhéus,2019,158872
Itarantim,2019,38472
Outros,2019,15546451
São Desidério,2020,3091203
Formosa do Rio Preto,2020,3073766
Jaborandi,2020,1744004
Correntina,2020,1060525
Barreiras,2020,1179766
Riachão das Neves,2020,1085054
Santa Rita de Cássia,2020,859509
Jequié,2020,186265
Encruzilhada,2020,451620
Baianópolis,2020,790814
Valença,2020,427637
Cocos,2020,1218387
Belmonte,2020,350558
Luís Eduardo Magalhães,2020,1523413
Barra,2020,139778
Cotegipe,2020,559960
Ibirapitanga,2020,296362
Itagibá,2020,72102
Itapetinga,2020,46135
Iguaí,2020,127471
Maraú,2020,170126
Ibicuí,2020,35239
Guaratinga,2020,251656
Nilo Peçanha,2020,154625
Camamu,2020,434741
Itambé,2020,144429
Dário Meira,2020,92504
Igrapiúna,2020,378236
Ilhéus,2020,191205
Itarantim,2020,60319
Outros,2020,13047762
São Desidério,2021,3159579
Formosa do Rio Preto,2021,2299737
Jaborandi,2021,2051920
Correntina,2021,1585476
Barreiras,2021,958306
Riachão das Neves,2021,761963
Santa Rita de Cássia,2021,998700
Jequié,2021,163926
Encruzilhada,2021,587315
Baianópolis,2021,1700892
Valença,2021,195332
Cocos,2021,1229644
Belmonte,2021,331485
Luís Eduardo Magalhães,2021,654262
Barra,2021,79058
Cotegipe,2021,292547
Ibirapitanga,2021,72436
Itagibá,2021,111453
Itapetinga,2021,20727
Iguaí,2021,155962
Maraú,2021,103211
Ibicuí,2021,27800
Guaratinga,2021,171742
Nilo Peçanha,2021,59568
Camamu,2021,163548
Itambé,2021,65263
Dário Meira,2021,101797
Igrapiúna,2021,148621
Ilhéus,2021,131715
Itarantim,2021,10405
Outros,2021,13420866
São Desidério,2022,2729422
Formosa do Rio Preto,2022,2432263
Jaborandi,2022,1734316
Correntina,2022,1473135
Barreiras,2022,996163
Riachão das Neves,2022,670183
Santa Rita de Cássia,2022,569631
Jequié,2022,498001
Encruzilhada,2022,414662
Baianópolis,2022,413632
Valença,2022,378871
Cocos,2022,367625
Belmonte,2022,354868
Luís Eduardo Magalhães,2022,343098
Barra,2022,312169
Cotegipe,2022,297663
Ibirapitanga,2022,292758
Itagibá,2022,288483
Itapetinga,2022,285382
Iguaí,2022,277970
Maraú,2022,275953
Ibicuí,2022,245755
Guaratinga,2022,243882
Nilo Peçanha,2022,238334
Camamu,2022,232571
Itambé,2022,227632
Dário Meira,2022,217077
Igrapiúna,2022,210971
Ilhéus,2022,209209
Itarantim,2022,203154
Outros,2022,13978140
